,Rel_girth,length_max,LOG10_RelGirth,LOG10_LengthMax
Hydrophis_annandalei,1.247,910,0.095866453,2.959041392
Hydrophis_atriceps,2.947,1220,0.469380136,3.086359831
Hydrophis_belcheri,1.643,950,0.215637563,2.977723605
Hydrophis_bituberculatus,1.848,1120,0.266701967,3.049218023
Hydrophis_brookii,2.39,1040,0.378397901,3.017033339
Hydrophis_caerulescens,1.953,820,0.290702243,2.913813852
Hydrophis_coggeri,2.217,1200,0.345765693,3.079181246
Hydrophis_curtus,1.364,1760,0.13481437,3.245512668
Hydrophis_cyanocinctus,1.65,2750,0.217483944,3.439332694
Hydrophis_czeblukovi,2.207,1240,0.343802333,3.093421685
Hydrophis_donaldi,1.864,886,0.270445908,2.947433722
Hydrophis_elegans,1.718,2340,0.235023159,3.369215857
Hydrophis_fasciatus,3.222,1110,0.508125536,3.045322979
Hydrophis_jerdoni,1.716,1050,0.234517284,3.021189299
Hydrophis_kingii,1.952,1860,0.290479813,3.269512944
Hydrophis_lamberti,1.585,1220,0.200029267,3.086359831
Hydrophis_lapemoides,1.822,960,0.260548373,2.982271233
Hydrophis_macdowelli,3.095,1160,0.490660653,3.064457989
Hydrophis_major,1.345,1640,0.128722284,3.214843848
Hydrophis_melanocephalus,2.309,1230,0.363423933,3.089905111
Hydrophis_obscurus,3.05,1200,0.484299839,3.079181246
Hydrophis_ocellatus,2.094,1260,0.320976677,3.100370545
Hydrophis_ornatus,1.436,1150,0.15715444,3.06069784
Hydrophis_pachycercos,1.868,1110,0.271376872,3.045322979
Hydrophis_parviceps,2.767,1230,0.442009159,3.089905111
Hydrophis_peronii,2.099,1260,0.322012439,3.100370545
Hydrophis_platurus,1.208,880,0.082066934,2.944482672
Hydrophis_schistosus,1.647,1400,0.216693599,3.146128036
Hydrophis_spiralis,1.696,2750,0.229425848,3.439332694
Hydrophis_stokesii,1.284,1790,0.108565024,3.252853031
Hydrophis_stricticollis,1.929,1050,0.285332228,3.021189299
Hydrophis_torquatus,1.509,915,0.17868924,2.961421094
Hydrophis_viperinus,1.357,950,0.132579848,2.977723605
Hydrophis_zweifeli,1.286,1024,0.109240969,3.010299957
Microcephalophis_gracilis,3.073,1220,0.48756256,3.086359831
