,Rel_girth,length_max,diet_nb
Aipysurus_apraefrontalis,1.516,1040,1.8
Aipysurus_duboisii,1.477,1140,3.2
Aipysurus_eydouxii,1.462,915,1.15
Aipysurus_foliosquama,1.438,800,2.46
Aipysurus_fuscus,1.345,940,2.46
Aipysurus_laevis,1.315,1720,2.81
Aipysurus_mosaicus,1.388,1100,1
Aipysurus_tenuis,1.529,1030,NA
Emydocephalus_annulatus,1.486,1030,1
Hydrophis_annandalei,1.247,910,1
Hydrophis_atriceps,2.947,1220,1.05
Hydrophis_belcheri,1.643,950,1
Hydrophis_bituberculatus,1.848,1120,1
Hydrophis_brookii,2.39,1040,1.15
Hydrophis_caerulescens,1.953,820,1.96
Hydrophis_coggeri,2.217,1200,1
Hydrophis_curtus,1.364,1760,5.25
Hydrophis_cyanocinctus,1.65,2750,1.61
Hydrophis_czeblukovi,2.207,1240,1
Hydrophis_donaldi,1.864,886,NA
Hydrophis_elegans,1.718,2340,1.9
Hydrophis_fasciatus,3.222,1110,1
Hydrophis_jerdoni,1.716,1050,1
Hydrophis_kingii,1.952,1860,1.92
Hydrophis_lamberti,1.585,1220,NA
Hydrophis_lapemoides,1.822,960,2.88
Hydrophis_macdowelli,3.095,1160,1
Hydrophis_major,1.345,1640,2.19
Hydrophis_melanocephalus,2.309,1230,1
Hydrophis_obscurus,3.05,1200,1
Hydrophis_ocellatus,2.094,1260,NA
Hydrophis_ornatus,1.436,1150,3.27
Hydrophis_pachycercos,1.868,1110,NA
Hydrophis_parviceps,2.767,1230,1
Hydrophis_peronii,2.099,1260,1.53
Hydrophis_platurus,1.208,880,2.87
Hydrophis_schistosus,1.647,1400,1.32
Hydrophis_spiralis,1.696,2750,1
Hydrophis_stokesii,1.284,1790,3.09
Hydrophis_stricticollis,1.929,1050,NA
Hydrophis_torquatus,1.509,915,2
Hydrophis_viperinus,1.357,950,1.34
Hydrophis_zweifeli,1.286,1024,1
Microcephalophis_gracilis,3.073,1220,1
